Org Unit,Org Unit Code,OU Short Name,Org Unit Id,Parent Id
Emoneni Outreach Clinic,,Emoneni Outreach Clinic,hvMHbBZTFsy,ssMcu8y2Kf3
Emoneni School Outreach Clinic,,Emoneni School Outreach Clinic,wX9KyheTTh9,tca66OfpOph
Emoyeni Outreach Clinic,,Emoyeni Outreach Clinic,L0YM4z9vwll,nmptn9bUYXv
Emoyeni Village Clinic,,Emoyeni VC,cACTAgQRept,nmptn9bUYXv
Empundwini Outreach Clinic,,Empundwini Outreach Clinic,sbQMsFvZQgI,BOEaJ4eqVC9
Empundwini Village Clinic,,Empundwini Village Clinic,Tk5c2MGBzT9,BOEaJ4eqVC9
Empundwini Village Clinic,,Empundwini Village Clinic,TscOEbuI4Co,BOEaJ4eqVC9
Emsizini Health Centre,507,Emsizini-HC,HFKrnnX40ZR,ZMhvihfvanx
Emthuzini Outreach Clinic,,Emthuzini Outreach Clinic,jvkzNrrrf7Y,H58PMzo9Xii
Emthuzini Village Clinic,,Emthuzini Village Clinic,IS0pyXVyrjp,H58PMzo9Xii
Emtiyani Outreach Clinic,,Emtiyani Outreach Clinic,rXWpLz9QmeF,CZXbHCpGcTW
Emtiyani Village Clinic,,Emtiyani VC,ZjEOEPFvb2a,CZXbHCpGcTW
Emvuyeni Outreach Clinic,,Emvuyeni Outreach Clinic,exV7eEIg0RW,BRvHol84T4Q
Emvuyeni Village Clinic,,Emvuyeni Village Clinic,GKNXo0W7tkV,BRvHol84T4Q
Endindeni Health Centre,508,Endindeni-HC,J3iNTezM5iw,PoWQdy5S9Xi
Eneya Outreach Clinic (Utale I),,Eneya Outreach Clinic (Utale I),Xuo6KU6FxKH,uKJ1hfxCykV
Eneya Village Clinic (Utale I),,Eneya Village Clinic (Utale I),WWJkHM8sg5O,uKJ1hfxCykV
Engalaweni Health Centre,,Engalaweni-HC,zgUEtAzpJLy,PoWQdy5S9Xi
Engalaweni Outreach Clinic,,Engalaweni Outreach Clinic,veH9quICUiL,QM6V7PDrfLM
Engalaweni Village Clinic,,Engalaweni Village Clinic,KV8RoAgPubX,QM6V7PDrfLM
Engucwini Health Centre,554,Engucwini-Health Centre,Tt5yMX4YCYJ,ZMhvihfvanx
Enkweleni Outreach Clinic,,Enkweleni Outreach Clinic,E6eELM2Ms4o,O6DhPzoQAUm
Entandweni Outreach Clinic,,Entandweni Outreach Clinic,Yw1O6cHLq9I,ihG7TCzUsYI
Entandweni Village Clinic,,Entandweni Village Clinic,beTd5CMvH21,ihG7TCzUsYI
Enukweni Health Centre,406,Enukweni-HC,nmptn9bUYXv,ZMhvihfvanx
Enukweni Mission Health Centre,,Enukweni Mission,OvpduRMmYdH,ZMhvihfvanx
Enyezini Health Post,,Enyezini-HP,OGcdWNlYGxe,jcv5nI6bzTq
Enyezini Outreach Clinic,,Enyezini Outreach Clinic,tryr8XOAFa2,jcv5nI6bzTq
Enyezini Village Clinic,,Enyezini VC,RwHjfRJawPk,HFKrnnX40ZR
Enyezini Village Clinic (Ekwendeni),,Enyezini Village Clinic (Ekwendeni),hrFUSDEBaZQ,jcv5nI6bzTq
Ephangweni Outreach Clinic,,Ephangweni Outreach Clinic,iKLdS8odE1U,ySElKKfe6yc
Ephangweni Village Clinic,,Ephangweni Village Clinic,JssZ06EKUcs,ySElKKfe6yc
Escom Clinic Lilongwe,4052,Escom Clinic Lilongwe,ahOuLxBrycV,MDkBXGJ5CyR
Escom Clinic Mzuzu,556,Escom Clinic Mzuzu,xmlMKVGErR7,ZMhvihfvanx
Esigondhleni Outreach Clinic,,Esigondhleni Outreach Clinic,SLlb1W6B1h2,ySElKKfe6yc
Estate 17/18 Outreach Clinic,,Estate 17/18 Outreach Clinic,zliLjdjCBgy,bPKUlNCxhvT
Estate 25 Outreach Clinic,,Estate 25 Outreach Clinic,KrZv9ColM1l,PbfmrMdVBs3
Estate 29 Outreach Clinic,,Estate 29 Outreach Clinic,bwuTwTOMcuC,WEXi1SR3Ps6
Estate 32 Outreach Clinic,,Estate 32 Outreach Clinic,YKETmqFrd3w,WEXi1SR3Ps6
Estate 34 Outreach Clinic,,Estate 34 Outreach Clinic,g4fauDWNdce,WEXi1SR3Ps6
Estate 55 Outreach,,Estate 55 Outreach,w8ha0WSDsoy,qUpaRCpnoux
Estate 57 Village Clinic,,Estate 57 Village Clinic,wBRY3KK5Bvs,ekYnKIXnPPj
Estate 62 Outreach Clinic,,Estate 62 Outreach Clinic,tF3WTHZMSvc,PYQecgNXvAc
Estate 62 Village Clinic,,Estate 62 Village Clinic,YScIDTtgn94,PYQecgNXvAc
Estate 64 Outreach Clinic,,Estate 64 Outreach Clinic,ma4jfiFqeUB,PYQecgNXvAc
Eswazini Outreach Clinic,,Eswazini Outreach Clinic,cIQYDP2ZK5g,ssMcu8y2Kf3
